,0,category,2cat
27,ALARM CLOCK BAKELIKE RED ,"This product falls under the category of ""Home Decor"" or ""Home Accessories.""","['Home', 'Accessories']"
28,ALARM CLOCK BAKELIKE GREEN,"This product belongs to the category of ""Decor"".",Decor
29,PANDA AND BUNNIES STICKER SHEET,Stationery,Stationery
30,STARS GIFT TAPE ,This product falls under the category of Stationery.,Stationery
31,INFLATABLE POLITICAL GLOBE ,"This product falls under the category of ""Toys & Games.""","['Toys', 'Games']"
32,VINTAGE HEADS AND TAILS CARD GAME ,"This product can be classified under the category of ""Stationery"" as it is a card game.","['Stationery', 'game']"
33,SET/2 RED RETROSPOT TEA TOWELS ,"This product falls under the category of ""Textiles"" or ""Kitchen Linens.""","['Kitchen', 'Linens']"
34,ROUND SNACK BOXES SET OF4 WOODLAND ,"This product falls under the category of ""Kitchenware"" or ""Storage & Organization"".","['Storage', 'Organization']"
35,SPACEBOY LUNCH BOX ,"This product falls under the category of ""Kitchen & Dining"" or specifically ""Lunch Boxes"".","['Dining', 'Boxes']"
36,LUNCH BOX I LOVE LONDON,This product belongs to the category of 'Travel & Kitchen Accessories'.,"['Kitchen', 'Accessories']"
37,CIRCUS PARADE LUNCH BOX ,"This product falls under the ""Lunchware"" category.",Lunchware
38,CHARLOTTE BAG DOLLY GIRL DESIGN,"This product would likely fall under the category of ""Bags & Purses"" or ""Fashion Accessories"".","['Fashion', 'Accessories']"
39,RED TOADSTOOL LED NIGHT LIGHT,Category: Lighting,Lighting
40, SET 2 TEA TOWELS I LOVE LONDON ,"This product belongs to the ""Kitchen & Dining"" category, specifically under the subcategory of ""Textiles"" or ""Kitchen Linens.""","['Kitchen', 'Linens']"
41,VINTAGE SEASIDE JIGSAW PUZZLES,This product falls under the category of Stationery or Games & Puzzles.,"['Games', 'Puzzles']"
42,MINI JIGSAW CIRCUS PARADE ,This product falls under the category of Toys and Games.,"['Toys', 'Games']"
43,MINI JIGSAW SPACEBOY,This product would likely belong to the category of Toys or Games.,"['Toys', 'Games']"
44,MINI PAINT SET VINTAGE ,This product falls under the category of Stationery.,Stationery
45,POSTAGE,This product falls into the category of Stationery.,Stationery
46,PAPER CHAIN KIT 50'S CHRISTMAS ,"This product belongs to the category of ""Decor"".",Decor
47,EDWARDIAN PARASOL RED,"This product would fall under the category of ""Accessories"" or ""Fashion Accessories"".","['Fashion', 'Accessories']"
48,RETRO COFFEE MUGS ASSORTED,This product can be classified as Drinkware.,"['product', 'Drinkware']"
49,SAVE THE PLANET MUG,This product can be classified in the Drinkware category.,Drinkware
50,VINTAGE BILLBOARD DRINK ME MUG,This product falls under the category of **Drinkware**.,"['*', '*']"
51,VINTAGE BILLBOARD LOVE/HATE MUG,This product can be classified as Drinkware.,"['product', 'Drinkware']"
52,WOOD 2 DRAWER CABINET WHITE FINISH,"This product can be classified under the ""Furniture"" category, specifically under the ""Storage & Organization"" subcategory.","['Organization', 'subcategory']"
53,WOOD S/3 CABINET ANT WHITE FINISH,"This product belongs to the ""Furniture"" category.",Furniture
54,WOODEN PICTURE FRAME WHITE FINISH,"This product belongs to the ""Decor"" category.",Decor
55,WOODEN FRAME ANTIQUE WHITE ,This product falls under the category of Decor.,Decor
56,VICTORIAN SEWING BOX LARGE,"This product falls under the category of ""Crafts & Hobbies"" or ""Sewing & Needlework"".","['Sewing', 'Needlework']"
57,HOT WATER BOTTLE TEA AND SYMPATHY,Wellness,Wellness
58,RED HANGING HEART T-LIGHT HOLDER,This product falls under the category of Decor.,Decor
59,JUMBO BAG PINK POLKADOT,"This product falls under the category of ""Bags.""",Bags
60,JUMBO  BAG BAROQUE BLACK WHITE,Category: Decor,Decor
61,JUMBO BAG CHARLIE AND LOLA TOYS,This product falls under the category of Toys.,Toys
62,STRAWBERRY CHARLOTTE BAG,"This product falls under the category of ""Bags.""",Bags
63,RED 3 PIECE RETROSPOT CUTLERY SET,This product can be classified as Kitchenware or Dining.,"['Kitchenware', 'Dining']"
64,BLUE 3 PIECE POLKADOT CUTLERY SET,This product can be classified as Kitchenware.,"['product', 'Kitchenware']"
65,SET/6 RED SPOTTY PAPER PLATES,"This product falls under the category of ""Party Supplies"" or ""Tableware"".","['Supplies', 'Tableware']"
66,LUNCH BAG RED RETROSPOT,"This product belongs to the category of ""Storage & Organization,"" specifically under the subcategory of ""Lunch Bags.""","['Lunch', 'Bags']"
67,STRAWBERRY LUNCH BOX WITH CUTLERY,This product would be classified under 'Kitchen & Dining' or 'Food Storage' category.,Storage
68,LUNCH BOX WITH CUTLERY RETROSPOT ,"This product falls under the category of ""Houseware"" or ""Kitchenware.""","['Houseware', 'Kitchenware']"
69,PACK OF 72 RETROSPOT CAKE CASES,"This product falls into the category of ""Baking"" or ""Kitchenware.""","['Baking', 'Kitchenware']"
70,PACK OF 60 DINOSAUR CAKE CASES,"This product can be classified as Decor, specifically party decor or baking supplies.","['baking', 'supplies']"
71,PACK OF 60 PINK PAISLEY CAKE CASES,This product falls under the category of Baking or Kitchen Supplies.,"['Kitchen', 'Supplies']"
72,60 TEATIME FAIRY CAKE CASES,"This product can be classified under the category of ""Kitchen & Dining"" or more specifically under ""Baking & Cooking Supplies"".","['Cooking', 'Supplies']"
73,TOMATO CHARLIE+LOLA COASTER SET,This product falls under the category of Decor.,Decor
74,CHARLIE & LOLA WASTEPAPER BIN FLORA,This product belongs to the Decor category.,Decor
75,RED CHARLIE+LOLA PERSONAL DOORSIGN,This product would likely fall under the category of Home Decor or Kids Decor.,"['Kids', 'Decor']"
76,JUMBO STORAGE BAG SUKI,This product belongs to the category of Storage.,Storage
77,JUMBO BAG PINK VINTAGE PAISLEY,This product falls under the category of Fashion or Accessories.,"['Fashion', 'Accessories']"
78,JAM MAKING SET PRINTED,This product would be classified under the category of Kitchenware or Cooking.,"['Kitchenware', 'Cooking']"
79,RETROSPOT TEA SET CERAMIC 11 PC ,"This product can be classified as ""Drinkware"".","['product', 'Drinkware']"
80,GIRLY PINK TOOL SET,This product would likely fall under the category of Tools or Home Improvement.,"['Home', 'Improvement']"
81,JUMBO SHOPPER VINTAGE RED PAISLEY,"This product falls into the ""Fashion & Accessories"" category.",Accessories
82,"AIRLINE LOUNGE,METAL SIGN",This product falls under the category of Decor.,Decor
83,WHITE SPOT RED CERAMIC DRAWER KNOB,"This product falls under the category of ""Decor"".",Decor
84,RED DRAWER KNOB ACRYLIC EDWARDIAN,Decor,Decor
85,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,This product falls under the category of Decor.,Decor
86,PHOTO CLIP LINE,This product would be classified under the category of Decor.,Decor
87,FELT EGG COSY CHICKEN,Category: Kitchenware or Kitchen Decor,"['Kitchen', 'Decor']"
88,PIGGY BANK RETROSPOT ,This product belongs to the Decor category.,Decor
89,SKULL SHOULDER BAG,This product can be classified into the category of Fashion or Accessories.,"['Fashion', 'Accessories']"
90,YOU'RE CONFUSING ME METAL SIGN ,This product belongs to the Decor category.,Decor
91,COOK WITH WINE METAL SIGN ,The product 'COOK WITH WINE METAL SIGN' would typically fall under the category of Decor.,Decor
92,GIN + TONIC DIET METAL SIGN,This product falls under the category of Decor.,Decor
93,YELLOW BREAKFAST CUP AND SAUCER,This product belongs to the category of Drinkware.,Drinkware
94,PINK BREAKFAST CUP AND SAUCER ,This product belongs to the category of Drinkware.,Drinkware
95,PAPER CHAIN KIT RETROSPOT,Stationery,Stationery
96,SMALL HEART FLOWERS HOOK ,This product falls under the category of Decor.,Decor
97,TEA TIME DES TEA COSY,"This product would fall under the category of Drinkware, as it is a tea cosy used to keep teapots warm while brewing tea.","['teapots', 'tea']"
98,FELT EGG COSY WHITE RABBIT ,This product falls under the category of Decor.,Decor
99,ZINC WILLIE WINKIE  CANDLE STICK,"This product belongs to the ""Decor"" category.",Decor
100,CERAMIC CHERRY CAKE MONEY BANK,This product falls into the Decor category.,Decor
101,RETROSPOT LARGE MILK JUG,This product falls under the category of Drinkware.,Drinkware
102,SET OF 6 FUNKY BEAKERS,"This product belongs to the ""Drinkware"" category.",Drinkware
103,EDWARDIAN PARASOL BLACK,"This product falls under the category of ""Accessories"" or more specifically, ""Fashion Accessories.""","['Fashion', 'Accessories']"
104,EDWARDIAN PARASOL NATURAL,"This product falls under the category of ""Accessories"" or more specifically ""Outdoor Accessories.""","['Outdoor', 'Accessories']"
105,CERAMIC STRAWBERRY CAKE MONEY BANK,This product belongs to the Decor category.,Decor
106,BLUE OWL SOFT TOY,"This product would fall under the category of ""Toys & Games"".","['Toys', 'Games']"
107,BALLOON ART MAKE YOUR OWN FLOWERS,This product would fall under the category of Crafts or DIY.,"['Crafts', 'DIY']"
108,GLASS CLOCHE SMALL,This product belongs to the category of Decor.,Decor
109,GUMBALL MONOCHROME COAT RACK,This product belongs to the Decor category.,Decor
110,DOORMAT FANCY FONT HOME SWEET HOME,"This product can be classified under the category of ""Decor"".",Decor
111,Discount,"I'm sorry, but without more context or information about the product, I am unable to determine its category. Please provide additional details or a description of the product so that I can help you classify it.","['description', 'product']"
112,VINTAGE SNAKES & LADDERS,This product can be classified as a Board Game.,"['Board', 'Game']"
113,CHOCOLATE CALCULATOR,"This product falls under the category of Stationery, as it is a calculator with a fun chocolate-themed design.","['calculator', 'design']"
114,RECYCLING BAG RETROSPOT ,"This product can be classified into the ""Home Storage & Organization"" category.",Organization
115,TOY TIDY PINK POLKADOT,This product falls under the category of Organization or Kids' Accessories.,"['Kids', 'Accessories']"
116,ANTIQUE GLASS DRESSING TABLE POT,"This product would fall under the ""Decor"" category.",Decor
117,IVORY GIANT GARDEN THERMOMETER,Category: Wellness,Wellness
118,3 TIER CAKE TIN GREEN AND CREAM,"This product can be classified as a Kitchen & Dining item, specifically under the category of Bakeware.",Bakeware
119,3 TIER CAKE TIN RED AND CREAM,"This product can be classified as ""Kitchen & Dining"" or specifically ""Bakeware"".","['Dining', 'Bakeware']"
120,SET 3 WICKER OVAL BASKETS W LIDS,Decor,Decor
121,SET OF 3 COLOURED  FLYING DUCKS,Decor,Decor
122,WOOD BLACK BOARD ANT WHITE FINISH,This product is in the Decor category.,Decor
123,COLOUR GLASS T-LIGHT HOLDER HANGING,This product falls into the category of Decor.,Decor
124,HANGING METAL HEART LANTERN,This product falls under the category of Lighting.,Lighting
125,HANGING MEDINA LANTERN SMALL,"This product belongs to the ""Lighting"" category.",Lighting
126,NATURAL SLATE HEART CHALKBOARD ,This product can be classified under the category of Decor.,Decor
127,HEART OF WICKER SMALL,This product belongs to the Decor category.,Decor
128,HEART OF WICKER LARGE,"This product could be classified under the ""Decor"" category.",Decor
129,WHITE LOVEBIRD LANTERN,This product falls under the category of Lighting.,Lighting
130,CLASSIC METAL BIRDCAGE PLANT HOLDER,"This product belongs to the ""Decor"" category.",Decor
131,CREAM HEART CARD HOLDER,This product falls into the Stationery category.,Stationery
132,ENAMEL FLOWER JUG CREAM,This product falls under the Decor category.,Decor
133,ENAMEL FIRE BUCKET CREAM,"This product belongs to the ""Decor"" category.",Decor
134,ENAMEL BREAD BIN CREAM,"This product can be classified under the ""Kitchen Storage"" category.",Storage
135,JUMBO BAG DOLLY GIRL DESIGN,"This product falls under the category of ""Bag"" or ""Fashion Accessories"".","['Fashion', 'Accessories']"
136,TRADITIONAL CHRISTMAS RIBBONS,Decor,Decor
137,ORGANISER WOOD ANTIQUE WHITE ,This product falls under the category of **Decor**.,"['*', '*']"
138,LUNCH BAG DOLLY GIRL DESIGN,"This product falls into the category of ""Lunchware"" or ""Lunch Accessories.""","['Lunchware', 'Accessories']"
139,WHITE WIRE EGG HOLDER,"This product falls under the category of Kitchen & Dining, specifically under Kitchen Storage & Organization.","['Storage', 'Organization']"
140,JUMBO BAG RED RETROSPOT,Decor,Decor
141,CHILLI LIGHTS,This product falls under the category of Lighting.,Lighting
142,LIGHT GARLAND BUTTERFILES PINK,Category: Lighting,Lighting
143,WOODEN OWLS LIGHT GARLAND ,Category: Lighting,Lighting
144,FAIRY TALE COTTAGE NIGHTLIGHT,This product falls under the category of Lighting.,Lighting
145,HOME SMALL WOOD LETTERS,"This product falls under the category of ""Home Decor.""","['Home', 'Decor']"
146,GINGHAM HEART  DOORSTOP RED,This product can be classified as a Decor item.,"['Decor', 'item']"
147,FIVE HEART HANGING DECORATION,This product falls under the category of Decor.,Decor
148,ASSORTED BOTTLE TOP  MAGNETS ,Category: Decor,Decor
149,FRIDGE MAGNETS US DINER ASSORTED,Decor,Decor
150,HOMEMADE JAM SCENTED CANDLES,This product belongs to the category of Home Decor or Home Fragrance.,"['Home', 'Fragrance']"
151,FRIDGE MAGNETS LES ENFANTS ASSORTED,"This product falls under the ""Decor"" category.",Decor
152,ROSE CARAVAN DOORSTOP,This product can be classified under the category of Home Decor.,"['Home', 'Decor']"
153,5 HOOK HANGER MAGIC TOADSTOOL,Decor,Decor
154,CHRISTMAS LIGHTS 10 REINDEER,Category: Lighting,Lighting
155,VINTAGE UNION JACK CUSHION COVER,"This product would fall under the ""Decor"" category.",Decor
156,SET OF 3 GOLD FLYING DUCKS,Decor,Decor
157,RED RETROSPOT UMBRELLA,"This product falls under the category of ""Accessories"", specifically ""Umbrellas"".","['Accessories', 'Umbrellas']"
158,BLACK/BLUE POLKADOT UMBRELLA,"This product can be classified under the category of ""Weather Accessories"" or specifically ""Umbrellas"" in the ""Personal Accessories"" category.",Accessories
159,RED DINER WALL CLOCK,"This product can be classified under the category of ""Decor"" as it is a wall clock that can serve as a decorative piece in a diner or kitchen setting.","['diner', 'setting']"
160,BLUE DINER WALL CLOCK,This product falls under the category of Lighting or Decor.,Decor
161,IVORY DINER WALL CLOCK,"This product falls under the category of ""Decor.""",Decor
162,LARGE HEART MEASURING SPOONS,This product falls under the category of Kitchenware.,Kitchenware
163,SMALL HEART MEASURING SPOONS,This product can be classified under the category of Kitchenware or Cooking Utensils.,"['Cooking', 'Utensils']"
164,JAM JAR WITH PINK LID,"This product belongs to the ""Drinkware"" category.",Drinkware
165,JAM JAR WITH GREEN LID,This product belongs to the category of Drinkware.,Drinkware
166,ROSE COTTAGE KEEPSAKE BOX ,Decor,Decor
167,HANGING HEART ZINC T-LIGHT HOLDER,This product falls under the category of Decor.,Decor
168,PAPER CHAIN KIT VINTAGE CHRISTMAS,This product would fall under the category of Decor.,Decor
169,DISCO BALL CHRISTMAS DECORATION,This product can be classified under the category 'Decor'.,product
170,SMALL POPCORN HOLDER,"This product would likely be classified under ""Kitchenware"" or ""Serveware.""","['Kitchenware', 'Serveware']"
171,LARGE POPCORN HOLDER ,This product falls under the category of Drinkware.,Drinkware
172,SET/20 RED RETROSPOT PAPER NAPKINS ,This product can be classified into the Decor category.,Decor
173,SET/6 RED SPOTTY PAPER CUPS,"This product belongs to the ""Drinkware"" category.",Drinkware
174,POLKADOT RAIN HAT ,"This product can be classified under the category of ""Apparel"" or ""Fashion Accessories"".","['Fashion', 'Accessories']"
175,DELUXE SEWING KIT ,This product belongs to the category of 'Crafts & Sewing'.,"[""'Crafts"", 'Sewing']"
176,RETROSPOT HEART HOT WATER BOTTLE,"This product can be classified under the ""Wellness"" category.",Wellness
177,ENGLISH ROSE HOT WATER BOTTLE,This product can be classified under the category of **Wellness**.,"['*', '*']"
178,PHOTO CUBE,Decor,Decor
179,PLASTERS IN TIN CIRCUS PARADE ,"This product falls under the category of ""First Aid"" or ""Health & Wellness"".","['Health', 'Wellness']"
180,PACK OF 12 PINK PAISLEY TISSUES ,Category: Stationery,Stationery
181,PACK OF 12 BLUE PAISLEY TISSUES ,"This product would be classified under ""Household Essentials"" or ""Decor"".","['Essentials', 'Decor']"
182,PACK OF 12 RED RETROSPOT TISSUES ,This product falls under the category of Stationery.,Stationery
183,CHICK GREY HOT WATER BOTTLE,Wellness,Wellness
184,PLASTERS IN TIN VINTAGE PAISLEY ,This product falls under the category of Health and Wellness.,"['Health', 'Wellness']"
185,PLASTERS IN TIN SKULLS,This product belongs to the category of Wellness.,Wellness
186,3 STRIPEY MICE FELTCRAFT,This product can be classified as a Craft or DIY product.,"['DIY', 'product']"
187,SET OF 6 SOLDIER SKITTLES,This product falls under the category of Toys & Games.,"['Toys', 'Games']"
188,TRADITIONAL WOODEN SKIPPING ROPE,"This product can be classified under the category of ""Fitness & Wellness"".","['Fitness', 'Wellness']"
189,WOODEN BOX OF DOMINOES,"This product falls under the category of ""Board Games"" or ""Games & Puzzles"".","['Games', 'Puzzles']"
190,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,Decor,Decor
191,PARTY CONES CARNIVAL ASSORTED,This product belongs to the category of Party Supplies.,"['Party', 'Supplies']"
192,PARTY CONES CANDY ASSORTED,This product falls under the category of confectionery or sweets.,"['confectionery', 'sweets']"
193,PICNIC BASKET WICKER SMALL,"This product can be classified as ""Outdoor & Picnic"".","['Outdoor', 'Picnic']"
194,STAR DECORATION PAINTED ZINC ,Decor,Decor
195,RETROSPOT LAMP,This product falls under the category of Lighting.,Lighting
196,"FANCY FONT BIRTHDAY CARD, ",This product can be classified under the category of Stationery.,Stationery
197,HAND WARMER SCOTTY DOG DESIGN,Wellness,Wellness
198,HAND WARMER OWL DESIGN,Wellness,Wellness
199,HAND WARMER RED RETROSPOT,Wellness,Wellness
200,DOG BOWL CHASING BALL DESIGN,This product can be classified under the category of Pet Supplies.,"['Pet', 'Supplies']"
201,CLOTHES PEGS RETROSPOT PACK 24 ,"This product falls under the category of ""Household Supplies.""","['Household', 'Supplies']"
202,HAND OVER THE CHOCOLATE   SIGN ,This product would be classified under the category of Decor.,Decor
203,TRAVEL SEWING KIT,"This product belongs to the ""Travel & Organization"" category.",Organization
204,BLACK HEART CARD HOLDER,"This product would likely fall under the category of ""Stationery.""",Stationery
205,SMALL GLASS HEART TRINKET POT,This product falls under the category of Decor.,Decor
206,ALARM CLOCK BAKELIKE IVORY,"This product falls under the category of ""Home Decor"".","['Home', 'Decor']"
207,ALARM CLOCK BAKELIKE ORANGE,"This product falls under the category of ""Decor.""",Decor
208,HAND WARMER BIRD DESIGN,"This product falls under the category of Wellness, as it is a hand warmer designed to keep your hands warm and comfortable.","['warmer', 'hands']"
209,IVORY EMBROIDERED QUILT ,This product falls under the category of 'Bedding' or 'Home Decor'.,Decor
210,SET OF 3 BLACK FLYING DUCKS,This product can be classified under Home Decor.,"['Home', 'Decor']"
211,RED RETROSPOT MUG,This product can be classified under Drinkware.,"['product', 'Drinkware']"
212,BABUSHKA LIGHTS STRING OF 10,"This product belongs to the ""Lighting"" category.",Lighting
213,DOORMAT FAIRY CAKE,This product can be classified as a Decor item.,"['Decor', 'item']"
214,STRAWBERRY CERAMIC TRINKET BOX,This product can be classified under the category of Decor.,Decor
215,PINK DOUGHNUT TRINKET POT ,This product can be classified as Decor.,"['product', 'Decor']"
216,SILK PURSE BABUSHKA PINK,"This product would likely fall under the ""Fashion"" or ""Accessories"" category.",Accessories
217,HOT WATER BOTTLE I AM SO POORLY,This product belongs to the Wellness category.,Wellness
218,CHOCOLATE HOT WATER BOTTLE,"This product falls under the category of ""Wellness.""",Wellness
219,WHITE SKULL HOT WATER BOTTLE ,This product falls under the category of Wellness.,Wellness
220,SCOTTIE DOG HOT WATER BOTTLE,This product falls under the category of Wellness.,Wellness
221,BIRD HOUSE HOT WATER BOTTLE,Wellness,Wellness
222,BOUDOIR SQUARE TISSUE BOX,This product falls under the category of Decor.,Decor
223,SKULLS SQUARE TISSUE BOX,Decor,Decor
224,PHOTO FRAME CORNICE,This product falls under the category of Decor.,Decor
225,SILK PURSE BABUSHKA RED,This product falls under the category of accessories or fashion.,"['accessories', 'fashion']"
226,PICTURE DOMINOES,Decor,Decor
227,S/6 SEW ON CROCHET FLOWERS,This product falls under the category of Crafting or Sewing.,"['Crafting', 'Sewing']"
228,SCANDINAVIAN REDS RIBBONS,"This product falls under the category of ""Decor"".",Decor
229,BALLOONS  WRITING SET ,This product likely belongs to the Stationery category.,Stationery
230,LAVENDER INCENSE IN TIN,This product is classified under the 'Wellness' category.,'Wellness
231,TV DINNER TRAY VINTAGE PAISLEY,"This product can be classified under the ""Home Goods"" category, specifically under ""Decor"" as it is a vintage paisley TV dinner tray.","['dinner', 'tray']"
232,SET OF 4 ENGLISH ROSE PLACEMATS,Decor,Decor
233,SET OF 4 ENGLISH ROSE COASTERS,Decor,Decor
234,TRIPLE PHOTO FRAME CORNICE ,This product falls under the category of Decor.,Decor
235,FAMILY PHOTO FRAME CORNICE,This product would fall under the category of Decor.,Decor
236,MIRRORED DISCO BALL ,This product would fall under the category of Lighting.,Lighting
237,DISCO BALL ROTATOR BATTERY OPERATED,This product belongs to the category of Lighting.,Lighting
238,SILVER LOOKING MIRROR,This product belongs to the Decor category.,Decor
239,LADIES & GENTLEMEN METAL SIGN,Decor,Decor
240,METAL SIGN HER DINNER IS SERVED ,This product falls under the category of Decor.,Decor
241,DOORMAT TOPIARY,"This product belongs to the ""Decor"" category.",Decor
242,BATHROOM METAL SIGN,"This product falls into the ""Decor"" category.",Decor
243,KITCHEN METAL SIGN,This product falls under the category of Decor.,Decor
244,TOILET METAL SIGN,Decor,Decor
245,METAL SIGN TAKE IT OR LEAVE IT ,Decor,Decor
246,I'M ON HOLIDAY METAL SIGN,This product falls under the category of Decor.,Decor
247,GROW YOUR OWN BASIL IN ENAMEL MUG,"This product would fall under the categories of ""Wellness"" and ""Drinkware"".","['Wellness', 'Drinkware']"
248,SET/10 PINK POLKADOT PARTY CANDLES,This product belongs to the category of Party Supplies.,"['Party', 'Supplies']"
249,SET 20 NAPKINS FAIRY CAKES DESIGN ,"This product falls under the category of ""Decor"" as it is a set of napkins with a fairy cakes design, which is often used as a decorative item for tables during events or parties.","['events', 'parties']"
250,SET OF 6 T-LIGHTS SNOWMEN,"This product belongs to the ""Decor"" category.",Decor
251,SET OF 6 T-LIGHTS SANTA,"This product belongs to the ""Decor"" category.",Decor
252,SET OF 9 HEART SHAPED BALLOONS,Category: Decor,Decor
253,SANDWICH BATH SPONGE,"This product belongs to the ""Wellness"" category.",Wellness
254,APPLE BATH SPONGE,"This product belongs to the ""Wellness"" category.",Wellness
255,STRAWBERRY BATH SPONGE ,Wellness,Wellness
256,BLACK PIRATE TREASURE CHEST,Decor,Decor
257,STAR PORTABLE TABLE LIGHT ,This product would be classified under the category of Lighting.,Lighting
258,SNOWFLAKE PORTABLE TABLE LIGHT ,Category: Lighting,Lighting
259,PINK OVAL JEWELLED MIRROR,"This product belongs to the ""Decor"" category.",Decor
260,RETROSPOT CIGAR BOX MATCHES ,"This product can be classified as ""Home Decor"" or ""Accessories"" as it is a retro cigar box designed for matches.","['box', 'matches']"
261,COSY HOUR GIANT TUBE MATCHES,This product would fall under the category of Home Decor.,"['Home', 'Decor']"
262,JAZZ HEARTS PURSE NOTEBOOK,This product belongs to the Stationery category.,Stationery
263,CANDLEHOLDER PINK HANGING HEART,This product falls under the category of Decor.,Decor
264,ASSORTED COLOUR MINI CASES,This product falls under the category of Stationery.,Stationery
265,LUNCH BAG SPACEBOY DESIGN ,"This product falls under the category of ""Accessories"" or more specifically ""Lunch Bags.""","['Lunch', 'Bags']"
266,LUNCH BAG WOODLAND,"This product falls under the category of ""Food Storage and Containers.""","['Storage', 'Containers']"
267,LUNCH BAG PINK POLKADOT,"This product falls into the category of ""Storage & Organization"".","['Storage', 'Organization']"
268,GUMBALL COAT RACK,Decor,Decor
269,BLUE NEW BAROQUE CANDLESTICK CANDLE,"This product belongs to the ""Decor"" category.",Decor
270,PINK NEW BAROQUECANDLESTICK CANDLE,"This product falls into the category of ""Decor"".",Decor
271,FAIRY CAKE FLANNEL ASSORTED COLOUR,"This product would likely fall under the category of ""Home Decor"" or ""Bedding & Linens"" as it is a flannel material in assorted colors typically used for decorating and adding comfort to the home.","['comfort', 'home']"
272,BREAD BIN DINER STYLE PINK,"This product belongs to the ""Kitchen & Dining"" category.",Dining
273,TEA TIME TABLE CLOTH,"This product belongs to the category of ""Home Decor"".","['Home', 'Decor']"
274,HOT WATER BOTTLE BABUSHKA ,Wellness,Wellness
275,HEART IVORY TRELLIS SMALL,This product falls under the category of Decor.,Decor
276,PINK DRAWER KNOB ACRYLIC EDWARDIAN,This product falls under the category of Decor.,Decor
277,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,"This product falls into the category of ""Decor"".",Decor
278,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,"This product belongs to the category of ""Decor.""",Decor
279,SET 6 FOOTBALL CELEBRATION CANDLES,"This product would fall under the ""Party Supplies"" category.",Supplies
280,SET OF 6 GIRLS CELEBRATION CANDLES,"This product falls into the ""Decor"" category.",Decor
281,ROMANTIC PINKS RIBBONS ,This product falls under the Stationery category.,Stationery
282,BRIGHT BLUES RIBBONS ,This product falls under the category of Stationery.,Stationery
283,CHOCOLATE BOX RIBBONS ,"This product falls under the category of ""Food & Drink,"" specifically under the subcategory of ""Chocolate & Confectionery.""","['Chocolate', 'Confectionery']"
284,PARTY INVITES FOOTBALL,"This product would fall under the ""Stationery"" category.",Stationery
285,PARTY INVITES JAZZ HEARTS,"This product falls under the category of Stationery, specifically Invitations.","['Stationery', 'Invitations']"
286,PARTY INVITES SPACEMAN,"This product falls into the ""Stationery"" category.",Stationery
287,SET OF 3 BUTTERFLY COOKIE CUTTERS,This product falls under the category of Kitchen and Baking.,"['Kitchen', 'Baking']"
